Βίβλος	[The] book
βοῶντος	of one crying
ἐν	in
τῇ	the
ἐρήμῳ	wilderness,
‘Ἑτοιμάσατε	Prepare
τὴν	the
ὁδὸν	way
Κυρίου,	of [the] Lord;
ποιεῖτε	make
εὐθείας	straight
τρίβους	paths
τὰς	the
αὐτοῦ.’”	of Him.’”
δὲ	now
Ἰωάννης	John
Αὐτὸς	Himself
ὁ	-
εἶχεν	had
τὸ	the
αὐτοῦ	of him
ἔνδυμα	garment
ἀπὸ	of
καμήλου	of a camel,
τριχῶν	hair
καὶ	and
δερματίνην	of leather
ζώνην	a belt
περὶ	around
τὴν	the
αὐτοῦ·	of him,
ὀσφὺν	waist
δὲ	and
ἡ	-
αὐτοῦ	of him
τροφὴ	the food
ἦν	was
ἀκρίδες	locusts
καὶ	and
ἄγριον.	wild.
μέλι	honey
Τότε	At that time
ἐξεπορεύετο	were going out
πρὸς	to
αὐτὸν	him
Ἱεροσόλυμα	Jerusalem,
καὶ	and
πᾶσα	all
ἡ	-
Ἰουδαία	Judea,
καὶ	and
ἡ	the
πᾶσα	all
περίχωρος	region around
τοῦ	the
Ἰορδάνου,	Jordan,
καὶ	and
ἐξομολογούμενοι	confessing
τὰς	the
αὐτῶν.	of them.
ἁμαρτίας	sins
ἐβαπτίζοντο	were being baptized
ὑπ’	by
αὐτοῦ	him,
ἐν	in
τῷ	the
Ἰορδάνῃ	Jordan
ποταμῷ	River
δὲ	now
Ἰδὼν	Having seen
πολλοὺς	many
τῶν	of the
Φαρισαίων	Pharisees
καὶ	and
Σαδδουκαίων	Sadducees
ἐρχομένους	coming
ἐπὶ	to
‹αὐτοῦ›	of him,
τὸ	the
βάπτισμα	baptism
εἶπεν	he said
αὐτοῖς	to them,
“Γεννήματα	Brood
ἐχιδνῶν,	of vipers,
τίς	who
ὑπέδειξεν	forewarned
ὑμῖν	you
φυγεῖν	to flee
ἀπὸ	from
τῆς	the
μελλούσης	coming
ὀργῆς;	wrath?
οὖν	therefore
ποιήσατε	Produce
καρπὸν	fruit
ἄξιον	worthy
τῆς	-
μετανοίας·	of repentance.
καὶ	And
μὴ	not
δόξητε	presume
λέγειν	to say
ἐν	within
ἑαυτοῖς	yourselves,
ἔχομεν	we have
τὸν	-
Ἀβραάμ·	Abraham.
‘Πατέρα	[As] father
γὰρ	for
λέγω	I say
ὑμῖν	to you
ὅτι	that
ἐκ	out of
τῶν	the
τούτων	these
λίθων	stones
ὁ	-
Θεὸς	God
δύναται	able is
ἐγεῖραι	to raise up
τέκνα	children
τῷ	unto
Ἀβραάμ.	Abraham.
ἡ	the
ἀξίνη	ax
ἤδη	Already
δὲ	now
κεῖται·	is applied;
πρὸς	to
τὴν	the
ῥίζαν	root
τῶν	of the
δένδρων	trees
οὖν	therefore
πᾶν	every
δένδρον	tree
μὴ	not
ποιοῦν	producing
καλὸν	good
καρπὸν	fruit
ἐκκόπτεται	is cut down
καὶ	and
βάλλεται.	is thrown.
εἰς	into
πῦρ	[the] fire
Ἐγὼ	I
μὲν	indeed
βαπτίζω	baptize
ὑμᾶς	you
ἐν	with
ὕδατι	water
εἰς	to
μετάνοιαν·	repentance,
ὁ	-
δὲ	but
ὀπίσω	after
μου	me
ἐρχόμενος	is coming
ἐστιν,	He
ἰσχυρότερός	mightier
μού	than I,
οὗ	of whom
τὰ	the
ὑποδήματα	sandals
εἰμὶ	I am
οὐκ	not
ἱκανὸς	fit
βαστάσαι·	to carry.
αὐτὸς	He
βαπτίσει	will baptize
ὑμᾶς	you
ἐν	with
Ἁγίῳ	Holy
Πνεύματι	[the] Spirit
καὶ	and
πυρί·	with fire,
οὗ	whose
τὸ	-
πτύον	winnowing fork [is]
ἐν	in
τῇ	the
αὐτοῦ,	of Him;
χειρὶ	hand
καὶ	and
διακαθαριεῖ	He will clear
τὴν	the
αὐτοῦ,	of Him
ἅλωνα	threshing floor
καὶ	and
συνάξει	will gather
τὸν	the
αὐτοῦ	of Him
σῖτον	wheat
εἰς	into
τὴν	the
ἀποθήκην,	barn;
δὲ	but
κατακαύσει	He will burn up
τὸ	the
ἄχυρον	chaff
ἀσβέστῳ.	unquenchable.
πυρὶ	with fire
Τότε	Then
ὁ	-
Ἰησοῦς	Jesus
παραγίνεται	comes
ἀπὸ	from
τῆς	-
Γαλιλαίας	Galilee
ἐπὶ	to
τὸν	the
Ἰορδάνην	Jordan,
πρὸς	unto
τὸν	-
Ἰωάννην	John,
τοῦ	-
βαπτισθῆναι	to be baptized
ὑπ’	by
αὐτοῦ.	him.
ὁ	-
δὲ	But
‹Ἰωάννης›	John
διεκώλυεν	was hindering
αὐτὸν	Him,
λέγων	saying,
“Ἐγὼ	I
ἔχω	have
χρείαν	need
βαπτισθῆναι,	to be baptized,
ὑπὸ	by
σοῦ	You
καὶ	and
σὺ	You
ἔρχῃ	come
πρός	to
με;	me?
“Ἄφες	Permit [it]
ἄρτι·	presently;
δὲ	however,
ὁ	-
Ἰησοῦς	Jesus
Ἀποκριθεὶς	Answering,
εἶπεν	said
‹πρὸς	unto
αὐτόν›	him,
γὰρ	for
ἐστὶν	it is
πρέπον	fitting
ἡμῖν	to us
πληρῶσαι	to fulfill
πᾶσαν	all
δικαιοσύνην.	righteousness.
οὕτως	thus
τότε	Then
ἀφίησιν	he permits
αὐτόν.	Him.
δὲ	now,
εὐθὺς	immediately
Βαπτισθεὶς	Having been baptized
ὁ	-
Ἰησοῦς	Jesus
ἀνέβη	went up
ἀπὸ	from
τοῦ	the
ὕδατος·	water;
καὶ	and
ἰδοὺ	behold,
οἱ	the
οὐρανοί,	heavens,
ἠνεῴχθησαν	were opened
[αὐτῷ]	to him
καὶ	and
εἶδεν	he saw
[τὸ]	the
Πνεῦμα	Spirit
[τοῦ]	of
Θεοῦ	God
καταβαῖνον	descending
ὡσεὶ	as
περιστερὰν	a dove,
[καὶ]	and
ἐρχόμενον	alighting
ἐπ’	upon
αὐτόν·	Him.
καὶ	And
ἰδοὺ	behold,
φωνὴ	a voice
ἐκ	out
τῶν	of the
οὐρανῶν	heavens,
λέγουσα	saying,
“Οὗτός	This
ἐστιν	is
ὁ	the
μου	of me,
ὁ	the
ἀγαπητός,	beloved,
Υἱός	Son
ἐν	in
ᾧ	whom
εὐδόκησα.	I was well pleased.
Τότε	Then
ὁ	-
Ἰησοῦς	Jesus
ἀνήχθη	was led up
ὑπὸ	by
τοῦ	the
Πνεύματος,	Spirit
εἰς	into
τὴν	the
ἔρημον	wilderness
πειρασθῆναι	to be tempted
ὑπὸ	by
τοῦ	the
διαβόλου.	devil.
καὶ	And
νηστεύσας	having fasted
τεσσεράκοντα	forty
ἡμέρας	days
καὶ	and
τεσσεράκοντα ⇔	forty
νύκτας	nights,
ὕστερον	afterward
ἐπείνασεν.	He was hungry.
Καὶ	And
ὁ	the
πειράζων	[one] tempting,
προσελθὼν	having come
αὐτῷ	to Him,
εἶπεν	he said
“Εἰ	If
εἶ	You are
Υἱὸς	Son
τοῦ	-
Θεοῦ,	of God,
εἰπὲ	speak,
ἵνα	that
οὗτοι	these,
οἱ	the
λίθοι	stones
γένωνται.	might become.
ἄρτοι	loaves of bread
Ὁ	-
δὲ	But
ἀποκριθεὶς	answering,
εἶπεν	He said,
“Γέγραπται	It has been written:
ὁ	the
ἄνθρωπος,	man,
‘Οὐκ	Not
ζήσεται	shall live
ἐπ’	by
ἄρτῳ	bread
μόνῳ	alone
Ἀλλ’	but
ἐπὶ	by
παντὶ	every
